Drug_ID,text,Y
CISAPRIDE HYDRATE,The molecular structure represented by SMILES COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC was tested for hERG channel blocking activity.,1.0
HALOPERIDOL,The molecular structure represented by SMILES O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1 was tested for hERG channel blocking activity.,1.0
BRL-37872,The molecular structure represented by SMILES COc1ccc(CC[NH+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC was tested for hERG channel blocking activity.,1.0
MK-499,The molecular structure represented by SMILES CS(=O)(=O)Nc1ccc2c(c1)[C@H](O)CC1(CC[NH+]([C@@H]3CCc4cc(C#N)ccc4C3)CC1)O2 was tested for hERG channel blocking activity.,1.0
BMCL20031829_13,The molecular structure represented by SMILES O=C1NCCN1CCN1CCC([C@@H]2CN(c3ccc(F)cc3)c3ccccc32)CC1 was tested for hERG channel blocking activity.,1.0
WOMBAT59,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH+](CCCc2ccccc2)[C@@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
IBUTILIDE,The molecular structure represented by SMILES CCCCCCC[NH+](CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1 was tested for hERG channel blocking activity.,1.0
NORASTEMIZOLE,The molecular structure represented by SMILES Fc1ccc(Cn2c(NC3CC[NH2+]CC3)nc3ccccc32)cc1 was tested for hERG channel blocking activity.,1.0
BEKM-1,The molecular structure represented by SMILES Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](C[C@H](OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1 was tested for hERG channel blocking activity.,1.0
DROPERIDOL,The molecular structure represented by SMILES O=C(CCC[NH+]1CC=C([N+]2=c3ccccc3=NC2=O)CC1)c1ccc(F)cc1 was tested for hERG channel blocking activity.,1.0
BMCL20031829_08,The molecular structure represented by SMILES COC(=O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1 was tested for hERG channel blocking activity.,1.0
DIGOXIN,The molecular structure represented by SMILES C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O was tested for hERG channel blocking activity.,1.0
AMIODARONE HYDROCHLORIDE,The molecular structure represented by SMILES CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1 was tested for hERG channel blocking activity.,1.0
DESBUTYLHALOFANTRINE,The molecular structure represented by SMILES CCCCNCC[C@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12 was tested for hERG channel blocking activity.,1.0
N-DESBUTYLHALOFANTRINE,The molecular structure represented by SMILES CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12 was tested for hERG channel blocking activity.,1.0
WOMBAT06,The molecular structure represented by SMILES c1ccc(-c2[nH]c3ccccc3c2C2CCN(c3ccccc3)CC2)cc1 was tested for hERG channel blocking activity.,1.0
BMCL20031829_01,The molecular structure represented by SMILES O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccc(Cl)cc23)CC1 was tested for hERG channel blocking activity.,1.0
THIORIDAZINE,The molecular structure represented by SMILES CSc1ccc2c(c1)N(CC[C@H]1CCCC[NH+]1C)c1ccccc1S2 was tested for hERG channel blocking activity.,1.0
KETANSERIN,The molecular structure represented by SMILES O=C(c1ccc(F)cc1)C1CC[NH+](CCn2c(=O)[nH]c3ccccc3c2=O)CC1 was tested for hERG channel blocking activity.,1.0
WOMBAT33,The molecular structure represented by SMILES Fc1ccc2c([C@@H]3C[NH2+]CC[C@@H]3F)c(-c3cccc4ccccc34)[nH]c2c1 was tested for hERG channel blocking activity.,1.0
WOMBAT60,The molecular structure represented by SMILES CC(C)(C)OC(=O)NCCC[NH+](Cc1cncn1Cc1ccc(C#N)cc1)[C@@H]1CCN(Cc2cccc(Cl)c2)C1=O was tested for hERG channel blocking activity.,1.0
PERGOLIDE,The molecular structure represented by SMILES CCC[NH+]1C[C@H](CSC)C[C@H]2c3cccc4c3[C@H](C=N4)C[C@H]21 was tested for hERG channel blocking activity.,1.0
VERAPAMIL,The molecular structure represented by SMILES COc1ccc(CC[NH+](C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC was tested for hERG channel blocking activity.,1.0
9-HYDROXYRISPERIDONE,The molecular structure represented by SMILES CC1=NC2=[N+](CCC[C@H]2O)C(=O)[C@@H]1CC[NH+]1CCC(c2noc3cc(F)ccc23)CC1 was tested for hERG channel blocking activity.,1.0
WOMBAT26,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2CC[NH2+][C@H]2CCN(c3ccccc3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
DOMPERIDONE,The molecular structure represented by SMILES O=C1N=c2ccccc2=[N+]1CCC[NH+]1CCC([N+]2=c3ccc(Cl)cc3=NC2=O)CC1 was tested for hERG channel blocking activity.,1.0
OLANZAPINE,The molecular structure represented by SMILES Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1 was tested for hERG channel blocking activity.,1.0
NPS-2143,The molecular structure represented by SMILES CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N was tested for hERG channel blocking activity.,1.0
WOMBAT28,The molecular structure represented by SMILES CCCC[NH+](Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O was tested for hERG channel blocking activity.,1.0
WOMBAT57,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH+](CC[NH+]2CCOCC2)[C@@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
AMSACRINE,The molecular structure represented by SMILES COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12 was tested for hERG channel blocking activity.,1.0
APRINIDINE,The molecular structure represented by SMILES CC[NH+](CC)CCCN(c1ccccc1)C1Cc2ccccc2C1 was tested for hERG channel blocking activity.,1.0
MEPERIDINE,The molecular structure represented by SMILES CCOC(=O)C1(c2ccccc2)CCN(C)CC1 was tested for hERG channel blocking activity.,1.0
TERIKALANT,The molecular structure represented by SMILES COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC was tested for hERG channel blocking activity.,1.0
CLOZAPINE,The molecular structure represented by SMILES C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1 was tested for hERG channel blocking activity.,1.0
SUNITINIB,The molecular structure represented by SMILES CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C was tested for hERG channel blocking activity.,1.0
WOMBAT03,The molecular structure represented by SMILES c1ccc(C[NH+]2CCC[C@H](c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1 was tested for hERG channel blocking activity.,1.0
AWD_23-111,The molecular structure represented by SMILES CC[NH+](CC)CCCN(CC(=O)N(C1CCCCC1)C1CCCCC1)C(=O)c1ccc([N+](=O)[O-])cc1 was tested for hERG channel blocking activity.,1.0
LOBELINE,The molecular structure represented by SMILES CN1[C@H](C[C@@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1.CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN([C@@H]3CCc4cc(C#N)ccc4C3)CC1)O2 was tested for hERG channel blocking activity.,1.0
OXATOMIDE,The molecular structure represented by SMILES O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1 was tested for hERG channel blocking activity.,1.0
CHLOROPHENIRAMINE,The molecular structure represented by SMILES CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1 was tested for hERG channel blocking activity.,1.0
ALMOKALANT,The molecular structure represented by SMILES CCCS(=O)CCC[NH+](CC)C[C@@H](O)COc1ccc(C#N)cc1 was tested for hERG channel blocking activity.,1.0
2-[({1-[1-(4-Fluorobenzyl)-1H-benzimidazol-2-yl]-4-piperidinyl}methyl)amino]-4(3H)-pyrimidinone,The molecular structure represented by SMILES O=c1ccnc(NCC2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)[nH]1 was tested for hERG channel blocking activity.,1.0
PROPAFENONE,The molecular structure represented by SMILES CCC[NH2+]C[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1 was tested for hERG channel blocking activity.,1.0
WOMBAT56,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH2+][C@@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
FLUOXETINE,The molecular structure represented by SMILES C[NH2+]CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
CYAMEMAZINE (RACEMATE),The molecular structure represented by SMILES C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21 was tested for hERG channel blocking activity.,1.0
WOMBAT61,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH+](CCC[NH3+])[C@@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
SAXITOXIN,The molecular structure represented by SMILES N=C1N[C@H]2[C@H](COC(N)=O)NC(=N)N3CCC(O)(O)[C@]23N1 was tested for hERG channel blocking activity.,1.0
WOMBAT34,The molecular structure represented by SMILES Fc1ccc2c([C@@H]3C[NH2+]CC[C@@H]3F)c(-c3ccc4ccccc4c3)[nH]c2c1 was tested for hERG channel blocking activity.,1.0
CARVEDILOL (RACEMATE),The molecular structure represented by SMILES COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12 was tested for hERG channel blocking activity.,1.0
ATROPINE,The molecular structure represented by SMILES C[NH+]1[C@H]2CC[C@@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2 was tested for hERG channel blocking activity.,1.0
BMCL20031829_04,The molecular structure represented by SMILES O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1 was tested for hERG channel blocking activity.,1.0
DOXAZOSIN,The molecular structure represented by SMILES COc1cc2nc(N3CCN(C(=O)[C@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC was tested for hERG channel blocking activity.,1.0
PRENYLAMINE,The molecular structure represented by SMILES C[C@H](Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
CLEBOPRIDE,The molecular structure represented by SMILES COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1 was tested for hERG channel blocking activity.,1.0
ARIPIPRAZOLE,The molecular structure represented by SMILES O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1 was tested for hERG channel blocking activity.,1.0
BMCL-16-2006-4265_26,The molecular structure represented by SMILES CN1CCN(CCCN(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)[C@@H]2C[C@@H](c3ccc4c(c3)[C@H](N)NO4)[C@@H]3C[C@H]32)CC1 was tested for hERG channel blocking activity.,1.0
(+)-QUINIDINE,The molecular structure represented by SMILES C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12 was tested for hERG channel blocking activity.,1.0
N_DEMETHYLHALOFANTRINE,The molecular structure represented by SMILES [NH3+]CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12 was tested for hERG channel blocking activity.,1.0
FLUOXETINE HYDROCHLORIDE,The molecular structure represented by SMILES CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
ORPHENADRINE,The molecular structure represented by SMILES Cc1ccccc1[C@H](OCC[NH+](C)C)c1ccccc1 was tested for hERG channel blocking activity.,1.0
CYAMEMAZIN,The molecular structure represented by SMILES C[C@H](CN1c2ccccc2Sc2ccc(C#N)cc21)C[NH+](C)C was tested for hERG channel blocking activity.,1.0
CYAMEMAZINE,The molecular structure represented by SMILES C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21 was tested for hERG channel blocking activity.,1.0
WOMBAT27,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH+](Cc2cccnc2)[C@H]2CCN(Cc3ccccc3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
BROMPHENIRAMINE MALEATE,The molecular structure represented by SMILES CN(C)CC[C@H](c1ccc(Br)cc1)c1ccccn1 was tested for hERG channel blocking activity.,1.0
WOMBAT36,The molecular structure represented by SMILES O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1[C@@H]1C[NH2+]CC[C@@H]1F was tested for hERG channel blocking activity.,1.0
BCTC,The molecular structure represented by SMILES CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1 was tested for hERG channel blocking activity.,1.0
DRONEDARONE,The molecular structure represented by SMILES CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1 was tested for hERG channel blocking activity.,1.0
GF-109203X,The molecular structure represented by SMILES CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21 was tested for hERG channel blocking activity.,1.0
MDL-100907,The molecular structure represented by SMILES COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC was tested for hERG channel blocking activity.,1.0
AJMALINE,The molecular structure represented by SMILES CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O was tested for hERG channel blocking activity.,1.0
MCI-154,The molecular structure represented by SMILES O=C1CCC(c2ccc(Nc3ccncc3)cc2)=NN1 was tested for hERG channel blocking activity.,1.0
QUINIDINE,The molecular structure represented by SMILES C=C[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12 was tested for hERG channel blocking activity.,1.0
L-365260,The molecular structure represented by SMILES Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1 was tested for hERG channel blocking activity.,1.0
WOMBAT58,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH+](CC[NH+]2CC[NH2+]CC2)[C@@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
LAPATINIB,The molecular structure represented by SMILES CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1 was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 2D,The molecular structure represented by SMILES CCN(CC)Cc1ccc2c(c1)CC[C@H](N1CCN(Cc3ccsc3)CC1=O)C2 was tested for hERG channel blocking activity.,1.0
COCAETHYLENE,The molecular structure represented by SMILES CCOC(=O)[C@@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C was tested for hERG channel blocking activity.,1.0
PALIPERIDONE,The molecular structure represented by SMILES Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCC[C@@H]2O was tested for hERG channel blocking activity.,1.0
ROPINIROLE HYDROCHLORIDE,The molecular structure represented by SMILES CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl was tested for hERG channel blocking activity.,1.0
"(4R)-4-(4-FLUOROPHENYL)-8-[1-(4-FLUOROPHENYL)CYCLOHEXYL]-2,8-DIAZASPIRO[4.5]DECAN-1-ONE",The molecular structure represented by SMILES O=C1NC[C@@H](c2ccc(F)cc2)C12CCN(C1(c3ccc(F)cc3)CCCCC1)CC2 was tested for hERG channel blocking activity.,1.0
BMCL-16-2007-1777-15,The molecular structure represented by SMILES CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1 was tested for hERG channel blocking activity.,1.0
DESIPRAMINE,The molecular structure represented by SMILES C[NH2+]CCCN1c2ccccc2CCc2ccccc21 was tested for hERG channel blocking activity.,1.0
BMCL-16-2006-4313-27,The molecular structure represented by SMILES O=C1NC[C@@H](c2ccccc2)C12CCN([C@H]1CCCC[C@@H]1c1ccccc1)CC2 was tested for hERG channel blocking activity.,1.0
JMC20066569-1,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)c(Cl)cc2o1 was tested for hERG channel blocking activity.,1.0
MIBEFRADIL,The molecular structure represented by SMILES COCC(=O)O[C@@]1(CC[NH+](C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C was tested for hERG channel blocking activity.,1.0
NIFEKALANT,The molecular structure represented by SMILES Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O was tested for hERG channel blocking activity.,1.0
CHLORPROMAZINE,The molecular structure represented by SMILES C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21 was tested for hERG channel blocking activity.,1.0
BMCL20031829_17,The molecular structure represented by SMILES CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12 was tested for hERG channel blocking activity.,1.0
1-{4-[({4-[(4-BROMO-2-FLUOROPHENYL)AMINO]-6-METHOXYQUINAZOLIN-7-YL}OXY)METHYL]PIPERIDIN-1-YL}-2-(DIMETHYLAMINO)ETHANONE,The molecular structure represented by SMILES COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C(=O)CN(C)C)CC1 was tested for hERG channel blocking activity.,1.0
BMCL-16-2007-1777-20,The molecular structure represented by SMILES CC(C)(C)[C@@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1 was tested for hERG channel blocking activity.,1.0
WOMBAT01,The molecular structure represented by SMILES Fc1ccc2c([C@@H]3C[NH2+]CC[C@H]3F)c(-c3ccsc3)[nH]c2c1 was tested for hERG channel blocking activity.,1.0
TERODILINE,The molecular structure represented by SMILES C[C@H](CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C was tested for hERG channel blocking activity.,1.0
PRAZOSIN,The molecular structure represented by SMILES COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC was tested for hERG channel blocking activity.,1.0
,The molecular structure represented by SMILES COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)[nH]c(=N)c2cc1OC was tested for hERG channel blocking activity.,1.0
1-(BIS(4-FLUOROPHENYL)METHYL)PIPERAZINE,The molecular structure represented by SMILES Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1 was tested for hERG channel blocking activity.,1.0
WOMBAT40,The molecular structure represented by SMILES Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2C[NH2+]CC[C@@H]2F)cc1 was tested for hERG channel blocking activity.,1.0
2-AMINO-N-PYRIMIDIN-4-YLACETAMIDE-3,The molecular structure represented by SMILES Cc1ccc(-c2nc(NC(=O)CN3CCC(CN(C)C)CC3)cc(-n3nccc3C)n2)o1 was tested for hERG channel blocking activity.,1.0
"1,4-DIHYDROINDENO[1,2-C]PYRAZOL_85",The molecular structure represented by SMILES C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1 was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 2B,The molecular structure represented by SMILES CCN(CC)Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3cc(N)cc(C(F)(F)F)c3)CC1=O)C2 was tested for hERG channel blocking activity.,1.0
BMCL-16-2006-4313-12c,The molecular structure represented by SMILES O=C1NC[C@@H](c2ccccc2)C12CCN([C@H]1CCCC[C@@]1(O)C1CCC(F)CC1)CC2 was tested for hERG channel blocking activity.,1.0
BMCL20031829_19,The molecular structure represented by SMILES CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12 was tested for hERG channel blocking activity.,1.0
DONEPEZIL,The molecular structure represented by SMILES COc1cc2c(cc1OC)C(=O)[C@@H](CC1CC[NH+](Cc3ccccc3)CC1)C2 was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 4A,The molecular structure represented by SMILES O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCC(C(F)(F)F)CC3)ccc2C1 was tested for hERG channel blocking activity.,1.0
AMLODIPINE,The molecular structure represented by SMILES CCOC(=O)C1=C(COCC[NH3+])NC(C)=C(C(=O)OC)[C@H]1c1ccccc1Cl was tested for hERG channel blocking activity.,1.0
RENZAPRIDE,The molecular structure represented by SMILES COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CC[NH+]2CCC[C@H]1C2 was tested for hERG channel blocking activity.,1.0
MICONAZOLE,The molecular structure represented by SMILES Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1 was tested for hERG channel blocking activity.,1.0
WOMBAT55,The molecular structure represented by SMILES F[C@H]1CC[NH2+]C[C@H]1c1c(-c2ccccc2)[nH]c2c(Cl)cccc12 was tested for hERG channel blocking activity.,1.0
LAAM,The molecular structure represented by SMILES CC[C@@H](OC(C)=O)C(C[C@@H](C)[NH+](C)C)(c1ccccc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
BMCL-16-2007-1777-16,The molecular structure represented by SMILES CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@H]1c1ccccc1 was tested for hERG channel blocking activity.,1.0
CONIVAPTAN,The molecular structure represented by SMILES Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2 was tested for hERG channel blocking activity.,1.0
LORATADINE,The molecular structure represented by SMILES CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1 was tested for hERG channel blocking activity.,1.0
NORFLUOXETINE,The molecular structure represented by SMILES NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
APOMORPHINE HYDROCHLORIDE,The molecular structure represented by SMILES CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl was tested for hERG channel blocking activity.,1.0
BMCL-16-2007-1777-17,The molecular structure represented by SMILES CC(C)[C@@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@H]1c1ccccc1 was tested for hERG channel blocking activity.,1.0
L-ALPHA-ACETYLMETHADOL,The molecular structure represented by SMILES CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
